# X(m) Y(m) Z(m)
0.122 0.162 0.117
0.122 0.162 0.117
0.122 0.162 0.117
0.122 0.162 0.117
0.122 0.162 0.117
0.122 0.162 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.122 0.161 0.117
0.121 0.161 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.160 0.116
0.121 0.159 0.116
0.120 0.159 0.116
0.120 0.159 0.115
0.121 0.160 0.116
0.123 0.173 0.125
0.123 0.173 0.125
0.122 0.173 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.125
0.122 0.172 0.124
0.122 0.172 0.124
0.122 0.172 0.124
0.122 0.172 0.124
0.122 0.172 0.124
0.122 0.172 0.124
0.122 0.172 0.124
0.122 0.171 0.124
0.122 0.171 0.124
0.122 0.171 0.124
0.122 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.171 0.124
0.121 0.170 0.124
0.121 0.170 0.124
0.121 0.170 0.124
0.121 0.170 0.124
0.121 0.170 0.123
0.121 0.170 0.123
0.121 0.170 0.123
0.121 0.170 0.123
0.121 0.170 0.123
0.120 0.170 0.123
0.120 0.170 0.123
0.120 0.169 0.123
0.121 0.170 0.123
0.170 0.220 0.201
0.170 0.220 0.200
0.170 0.220 0.200
0.170 0.220 0.200
0.170 0.220 0.200
0.170 0.220 0.200
0.170 0.220 0.200
0.169 0.219 0.200
0.169 0.219 0.199
0.169 0.219 0.199
0.169 0.219 0.199
0.169 0.219 0.199
0.169 0.219 0.199
0.169 0.218 0.199
0.169 0.218 0.199
0.168 0.218 0.199
0.168 0.218 0.198
0.168 0.218 0.198
0.168 0.218 0.198
0.168 0.217 0.198
0.168 0.217 0.198
0.168 0.217 0.198
0.167 0.217 0.197
0.167 0.217 0.197
0.167 0.217 0.197
0.167 0.216 0.197
0.167 0.216 0.197
0.167 0.216 0.197
0.167 0.216 0.197
0.166 0.216 0.196
0.166 0.216 0.196
